"State","n_cattle","n_cattle_sd","area_ha","pastue_tot_201819_ha","stocking_rate_ha","municipality","mod_deg_perc_201819","sev_deg_perc_201819","crop_201819_perc","mod_pasture_deg_sum_201819_ha","sev_pasture_deg_sum_201819_ha","crop_201819_tot_ha","forest_tot_2013_2014_ha","forest_perc_2013_2014","defo_perc_2013_14","defo_perc_2014_15","defo_perc_2015_16","defo_perc_2016_17","defo_perc_13_17","forest_201819_perc","nearest_fedSh_km","agricultural_credits_1000R","mean_market_share_g4_1317","imagedate"
"AC",15,0.0317820695913084,94.551,53.8954,0.362,"1200013",0,0,0,0,0,0,38.1837,40.294,0,0.755,1.683,1.169,3.607,43.13,0.818503600497642,0.824738468,0,2019-07-11
"AC",90,0.0882484804296619,164.784,113.0727,1.035,"1200013",22.61,0,0,37.3442,0,0,47.2255,28.595,0,0,0,0,0,31.1,0.794302365369459,0.824738468,0,2019-07-11
"AC",34,0.0866573287008837,30.597,30.6648,1.441,"1200013",17.22,0,0,5.2819,0,0,0,0,0,0,0,0,0,0,0.768964360948283,0.824738468,0,2020-05-17
"AC",11,0.0647213595499958,39.976,40.0237,0.357,"1200013",74.49,18.71,0,29.8442,7.498,0,0.083,0.207,0,0,0,0,0,0.1,0.817935849808581,0.824738468,0,2019-07-11
"AC",22,0.0475791688659749,39.495,39.5833,0.723,"1200013",62.39,0,0,24.6951,0,0,0,0,0,0,0,0,0,0,0.789791526449591,0.824738468,0,2019-07-11
"AC",11,0.0166666666666667,41.399,37.4606,0.382,"1200013",0,0,0,0,0,0,2.1544,5.192,0,0.413,0,0,0.413,9.71,0.824251938654348,0.824738468,0,2019-07-11
"AC",8,0.0355959179422654,41.12,40.742,0.255,"1200013",0,0,0,0,0,0,0.35,0.849,0,0,0,0,0,1.14,0.78541461360495,0.824738468,0,2019-07-11
"AC",89,0.157112306041087,83.79,83.6586,1.383,"1200013",31.52,0,0,26.4735,0,0,13.6329,16.234,0,0.449,7.779,2.801,11.029,0.38,0.757799137386712,0.824738468,0,2019-07-11
"AC",8,0.0699854212223765,11.091,11.1153,0.936,"1200013",81.27,0,0,9.0329,0,0,0,0,0,0,0,0,0,0,0.761478357769339,0.824738468,0,2020-05-17
"AC",14,0.111237243569579,14.484,14.5164,1.254,"1200013",21.79,0,0,3.163,0,0,0,0,0,0,0,0,0,0,0.745997360308765,0.824738468,0,2020-05-17
"AC",11,0.112659863237109,25.07,23.0565,0.62,"1200013",9.7,0,0,2.4375,0,0,19.28,76.732,3.84,12.794,41.165,2.735,60.534,8.24,1.07594559646774,0.824738468,0,2020-07-21
"AC",25,0.0429016689859371,80.478,79.717,0.408,"1200013",25.28,0,0,20.3917,0,0,1.523,1.888,0,0,0,0,0,1.11,0.762824099386466,0.824738468,0,2019-07-11
"AC",15,0.0908651281981146,32.901,28.7987,0.677,"1200013",6.81,0,0,2.2458,0,0,3.8713,11.74,0,5.298,0,0,5.298,12.67,0.851282474716435,0.824738468,0,2019-07-11
"AC",5,0.117104113891562,21.829,20.5032,0.317,"1200013",1.15,0,0,0.2522,0,0,1.618,7.395,0,0,2.532,0,2.532,6.28,0.745466534188923,0.824738468,0,2020-05-17
"AC",17,0.1113552872566,30.304,28.5524,0.774,"1200013",25.88,0,0,7.861,0,0,0.8278,2.726,0,0.715,0,0,0.715,1.16,0.79516943389676,0.824738468,0,2019-07-11
"AC",38,0.0908261398991505,72.671,50.6965,0.974,"1200013",0.17,0,0,0.1271,0,0,11.1542,15.315,0,0,0,0.156,0.156,29.3,0.781570751619181,0.824738468,0,2019-07-11
"AC",44,0.126332495807108,36.791,29.8951,1.913,"1200013",13.42,0,0,4.9501,0,0,10.1884,27.63,0,1.442,1.796,0,3.238,18.93,0.807239605147386,0.824738468,0,2019-07-11
"AC",10,0.08,9.414,9.435,1.378,"1200013",97.65,0,0,9.2137,0,0,0,0,0,0,0,0,0,0,0.741629517422975,0.824738468,0,2020-05-17
"AC",6,0.0455391610986702,52.628,40.2845,0.194,"1200013",0.59,0,0,0.3129,0,0,11.5828,21.96,0,0,0,0,0,23.62,0.849821482616905,0.824738468,0,2019-07-11
"AC",12,0.041298221281347,40.438,35.2188,0.443,"1200013",7.97,0,0,3.2289,0,0,4.8071,11.861,0,0,0,0,0,13.1,0.806177759165892,0.824738468,0,2019-07-11
"AC",6,0.0350735462684472,37.092,28.3196,0.275,"1200013",8.85,0,0,3.2911,0,0,25.2737,67.986,0,5.798,2.012,12.018,19.828,23.82,0.818625031726187,0.824738468,0,2019-07-11
"AC",8,0.108316324759439,43.283,40.1402,0.259,"1200013",20.15,4.61,0,8.7402,1.9999,0,3.7384,8.618,2.657,6.176,0,0,8.833,5.39,0.796992803328659,0.824738468,0,2019-07-11
"AC",10,0.024325212770526,39.674,16.8621,0.771,"1200013",0,0,0,0,0,0,19.5402,49.141,0.418,0.008,0,0,0.426,57.59,0.780516832700915,0.824738468,0,2019-07-11
"AC",8,0.273038237651904,8.118,8.1362,1.278,"1200013",100,0,0,8.1362,0,0,0,0,0,0,0,0,0,0,0.77225250616566,0.824738468,0,2020-05-17
"AC",14,0.257979589711327,14.056,14.0876,1.292,"1200013",76.51,19.81,0,10.7778,2.7902,0,0,0,0,0,0,0,0,0,0.760015032063916,0.824738468,0,2020-05-17
"AC",23,0.114285714285714,9.889,9.8362,3.04,"1200013",5.35,0,0,0.5305,0,0,0,0,0,0,0,0,0,1.5,0.766040817655181,0.824738468,0,2020-05-17
"AC",27,0.0815096472658165,54.82,48.2719,0.727,"1200013",39.55,0,0,21.7289,0,0,1.5365,2.797,0,0,0,0.042,0.042,11.39,0.787710611098692,0.824738468,0,2019-07-11
"AC",19,0.177979589711327,21.36,21.4076,1.154,"1200013",4.59,0,0,0.9835,0,0,0,0,0,0,0,0,0,0,0.75237533889118,0.824738468,0,2020-05-17
"AC",10,0.0741581623797196,56.094,49.4586,0.263,"1200013",10.7,0,0,6.0141,0,0,13.4241,23.878,2.442,0.79,8.827,0,12.059,12.03,0.847368281968997,0.824738468,0,2019-07-11
"AC",43,0.0548562720129048,119.876,109.8771,0.509,"1200013",9.19,0,0,11.0472,0,0,4.2254,3.517,0,0,0,0,0,6.99,0.779745229090508,0.824738468,0,2019-07-11
"AC",14,0.0832192224875248,45.37,44.4964,0.409,"1200013",67.74,3.6,0,30.8003,1.6386,0,0,0,0,0,0,0,0,2.14,0.76367757422715,0.824738468,0,2020-05-17
"AC",5,0.148316324759439,8.885,8.9046,0.73,"1200013",100,0,0,8.9046,0,0,2.629,29.524,0,0,17.844,1.85,19.694,0,0.762121242208577,0.824738468,0,2020-05-17
"AC",8,0.0825343216607239,82.187,77.8941,0.134,"1200013",17.88,0,0,14.731,0,0,3.9327,4.774,0.646,0.752,0.01,0,1.408,5.43,0.761245239068847,0.824738468,0,2019-07-11
"AC",32,0.126862790049193,37.871,31.2278,1.332,"1200013",25.96,0,0,9.8549,0,0,12.1679,32.058,0.583,2.783,9.638,0,13.004,17.73,0.837409185222868,0.824738468,0,2019-07-11
"AC",71,0.159687642468084,70.859,71.0179,1.3,"1200013",2.08,0,0,1.4742,0,0,0,0,0,0,0,0,0,0,0.779366972341659,0.824738468,0,2019-07-11
"AC",51,0.0903765215487822,206.801,187.7098,0.353,"1200013",20.01,0,0,41.4777,0,0,6.7089,3.237,0,0,0,0,0,7.02,0.807192714759196,0.824738468,0,2019-07-11
"AC",36,0.108989794855664,85.724,70.6608,0.662,"1200013",38.12,0,0,32.7537,0,0,22.2732,25.924,1.51,1.504,0.812,0.773,4.599,17.76,0.819434529404081,0.824738468,0,2019-07-11
"AC",18,0.245912806858579,24.076,24.1285,0.97,"1200013",41.81,0,0,10.0895,0,0,2e-04,0.001,0,0,0,0,0,0.01,0.741734121074755,0.824738468,0,2020-05-17
"AC",6,0.0816496580927726,9.698,9.7199,0.802,"1200013",99.06,0,0,9.6282,0,0,0,0,0,0,0,0,0,0,0.765313051856511,0.824738468,0,2020-05-17
"AC",13,0.229965982852212,9.601,9.6228,1.756,"1200013",100,0,0,9.6228,0,0,0,0,0,0,0,0,0,0,0.770761310134466,0.824738468,0,2020-05-17
"AC",36,0.128989794855664,13.137,13.1667,3.554,"1200013",68.46,0,0,9.0138,0,0,0,0,0,0,0,0,0,0,0.746954883205099,0.824738468,0,2020-05-17
"AC",41,0.21682680124837,69.515,63.6838,0.837,"1200013",13.02,0,0,9.0733,0,0,4.4158,6.338,0,0,0,0,0,8.59,0.786756375997421,0.824738468,0,2019-07-11
"AC",45,0.02204859166792,578.422,256.7861,0.228,"1200013",2.35,0,0,13.6326,0,0,311.3976,53.717,2.248,0.673,1.433,0,4.354,55.51,0.847393486792651,0.824738468,0,2019-07-11
"AC",10,0.060977316034756,52.716,38.7314,0.336,"1200013",22.79,0,0,12.0411,0,0,15.8395,29.98,2.261,1.877,0,0,4.138,26.69,0.837734059346516,0.824738468,0,2019-07-11
"AC",8,0.0492911148869311,56.209,54.5783,0.191,"1200013",11.69,0,0,6.5854,0,0,0.1064,0.189,0,0,0,0,0,2.33,0.847714767427354,0.824738468,0,2019-07-11
"AC",5,0.114285714285714,9.404,9.4246,0.69,"1200013",99.99,0,0,9.424,0,0,0,0,0,0,0,0,0,0,0.75121802634224,0.824738468,0,2020-05-17
"AC",16,0.117263449868785,14.515,14.5471,1.43,"1200013",11.07,0,0,1.6099,0,0,0,0,0,0,0,0,0,0,0.771427425535766,0.824738468,0,2020-05-17
"AC",43,0.145532464476952,39.24,37.8544,1.477,"1200013",2.01,0,0,0.7919,0,0,1.6905,4.299,0,0,1.141,0,1.141,3.67,0.764562897462137,0.824738468,0,2019-07-11
"AC",25,0.275026779124845,12.016,12.0256,2.703,"1200013",66.83,0,0,8.0478,0,0,0,0,0,0,0,0,0,0,0.749574158695627,0.824738468,0,2020-05-17
